EF_W_COMP_WORKOVERS_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_FRAC.WELL_TYPE,EF_W_COMP_WORKOVERS_FRAC.IS_GAS_FLARED,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.OIL_OR_GAS_WELL,EF_W_COMP_WORKOVERS_FRAC.EQUATION_USED,EF_W_COMP_WORKOVERS_FRAC.FLOW_VOLUME,EF_W_COMP_WORKOVERS_FRAC.FLOW_RATE,EF_W_COMP_WORKOVERS_FRAC.ANNUAL_CH4_EMISSIONS
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,22800,6.71
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,22000,3.494
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,880,.403
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,20000,2.336
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,32400,5.297
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,26000,6.68
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,9583.3333333,2.955
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,24600,8.504
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BARBOUR  WV (1) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,52000,11.174
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BEAVER  PA (7) - Shale gas,Horizontal,No,Yes,5,,,,Equation W-10A,,,0
Gulfport Energy Appalachian Basin 160-A Eastern Overthrust Region,1011706,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,Horizontal,Yes,Yes,15,,,,Equation W-10B,1828,91.4,.001
Hess Corporation - 160A - Utica Basin,1011181,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,Horizontal,Yes,Yes,14,,,,Equation W-10B,105257.03,1021295,32.297
Rice Drilling D  LLC - Basin 160A,1011862,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,Hoizontal,No,Yes,13,,,,Equation W-10B,0,1392083.3333333,4.514
Ascent Resources - Utica (160a),1011454,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,Horizontal,No,Yes,15,,,,Equation W-10B,0,0,0
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,Horizontal,Yes,Yes,2,,,,Equation W-10B,536375,6436.5,.36
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BRADFORD  PA (15) - Shale gas,Horizontal,No,Yes,11,,,,Equation W-10A,,,24.099
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BRADFORD  PA (15) - Shale gas,Horizontal,Yes,Yes,1,,,,Equation W-10B,145000,863,.1
Chief Oil & Gas LLC (160A),1009485,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BRADFORD  PA (15) - Shale gas,Horizontal,No,Yes,8,,,,Equation W-10B,0,0,0
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BRADFORD  PA (15) - Shale gas,Horizontal,No,Yes,22,,,,Equation W-10B,0,2572791.6666667,72.2
Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,1011308,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUTLER  PA (19) - Shale gas,Horizontal,No,Yes,35,,,,Equation W-10B,0,0,0
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUTLER  PA (19) - Shale gas,Horizontal,No,Yes,6,,,,Equation W-10B,0,147500,4.06
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUTLER  PA (19) - Shale gas,Horizontal,Yes,Yes,1,,,,Equation W-10B,744000,15000,.34
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUTLER  PA (19) - Shale gas,Horizontal,Yes,Yes,32,,,,Equation W-10B,829625,567.84375,3.62
Seneca East Facilities,1009301,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CAMERON  PA (23) - Shale gas,Horizontal,No,Yes,3,,,,Equation W-10B,0,58333.3,9.3
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CARROLL  OH (19) - Shale gas,Horizontal,No,Yes,2,,,,Equation W-10A,,,0
Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,1011308,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CARROLL  OH (19) - Shale gas,Horizontal,No,Yes,3,,,,Equation W-10B,0,0,0
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - COLUMBIANA  OH (29) - Shale gas,Horizontal,No,Yes,7,,,,Equation W-10A,,,0
Atlas 160A/Appalach Overthrust Basin - PA,1008480,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - COLUMBIANA  OH (29) - Shale gas,Horizontal,Yes,Yes,4,,,,Equation W-10B,301678,5667,2.71
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,Yes,Yes,28,,,,Equation W-10B,1542357.1428571,30645.2425653,19.611
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,14,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,6000,.127
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,46000,3.305
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,16400,1.178
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,7600,.45
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,91.6666667,.009
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DODDRIDGE  WV (17) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,59200,8.257
Seneca East Facilities,1009301,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - ELK  PA (47) - Shale gas,Horizontal,No,Yes,24,,,,Equation W-10B,0,22166.7,173.3
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - FAYETTE  PA (51) - Shale gas,Horizontal,No,Yes,41,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,103399.5833333,2.785
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,172800.4166667,4.654
Greylock Energy,1006564,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,Yes,Yes,12,,,,Equation W-10B,58413851.6676564,120045.7834923,21.72
Vantage Energy Appalachia II LLC 160A Appalachia Basin Eastern Overthrust Area,1011678,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,20,,,,Equation W-10B,0,0,0
Rice Drilling B  LLC - Basin 160A,1011861,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Hoizontal,No,Yes,9,,,,Equation W-10B,0,1145375,2.048
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,52600,2.597
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,56000,13.575
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,6000,1.993
CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,38600,6.758
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GREENE  PA (59) - Shale gas,Horizontal,No,Yes,21,,,,Equation W-10B,0,0,0
Gulfport Energy Appalachian Basin 160-A Eastern Overthrust Region,1011706,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  OH (67) - Shale gas,Horizontal,Yes,Yes,5,,,,Equation W-10B,2904,50.1,0
Hess Corporation - 160A - Utica Basin,1011181,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  OH (67) - Shale gas,Horizontal,Yes,Yes,15,,,,Equation W-10B,7617.28,1945820,3.258
Ascent Resources - Utica (160a),1011454,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  OH (67) - Shale gas,Horizontal,No,Yes,24,,,,Equation W-10B,0,0,0
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  OH (67) - Shale gas,Horizontal,No,Yes,4,,,,Equation W-10B,0,0,0
Arsenal Resources  LLC 160A Appalachian Basin,1008795,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  WV (33) - Shale gas,Horizontal,Yes,Yes,7,,,,Equation W-10B,44300,0,.407
Equinor USA Onshore Properties - APB Basin 160A,1011688,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  WV (33) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10A,,,4.385
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Oil,Horizontal,No,Yes,15,,,,Equation W-10B,0,0,0
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - OHIO  WV (69) - Oil,Horizontal,No,Yes,18,,,,Equation W-10B,0,0,0
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Oil,Horizontal,Yes,Yes,11,,,,Equation W-10B,0,0,0
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WETZEL  WV (103) - Oil,Horizontal,No,Yes,4,,,,Equation W-10B,0,0,0
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUCHANAN  VA (27) - Coal seam,Vertical,No,Yes,9,,,,Equation W-10B,0,24722.2222222,1.03
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUCHANAN  VA (27) - Coal seam,Horizontal,No,Yes,2,,,,Equation W-10B,0,20500,.19
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BUCHANAN  VA (27) - Coal seam,Horizontal,Yes,Yes,1,,,,Equation W-10B,153000,50000,.29
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - DICKENSON  VA (51) - Coal seam,Vertical,No,Yes,7,,,,Equation W-10B,0,19000,.61
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - RUSSELL  VA (167) - Coal seam,Vertical,No,Yes,1,,,,Equation W-10B,0,9000,.04
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LAWRENCE  PA (73) - High permeability gas,Horizontal,No,Yes,25,,,,Equation W-10B,4531197.9166667,4334.0008768,67.929
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LAWRENCE  PA (73) - High permeability gas,Horizontal,Yes,Yes,25,,,,Equation W-10B,113316687.5,52202.1677835,33.975
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MERCER  PA (85) - High permeability gas,Horizontal,No,Yes,16,,,,Equation W-10B,3701837.5,3362.2502271,55.496
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MERCER  PA (85) - High permeability gas,Horizontal,Yes,Yes,15,,,,Equation W-10B,49111854.1666667,18185.285843,14.725
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BROOKE  WV (9) - Oil,Horizontal,No,Yes,1,,,,Equation W-10B,0,0,0
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - RITCHIE  WV (85) - Shale gas,Horizontal,No,Yes,5,,,,Equation W-10B,0,0,0
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - RITCHIE  WV (85) - Shale gas,Horizontal,Yes,Yes,10,,,,Equation W-10B,4105900,33668.1090723,15.371
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - RITCHIE  WV (85) - Shale gas,Horizontal,Yes,No,4,,,,Equation W-10B,11856750,165143.0401867,14.282
