EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_NO_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_NO_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_NO_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_COMP_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.WORKOVERS_WITHOUT_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_WITH_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_FLARING
Valence Operating Co 260 East Texas Basin,1008587,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - PANOLA  TX (365) - Other tight reservoir rock,3,384,109.406,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - ROBERTSON  TX (395) - Other tight reservoir rock,0,0,0,,,,,,,,
Valence Operating Co 260 East Texas Basin,1008587,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - RUSK  TX (401) - Other tight reservoir rock,1,48,72.824,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SHELBY  TX (419) - Other tight reservoir rock,0,0,0,,,,,,,,
Breitburn Operating LP 260 East Texas,1009811,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SMITH  TX (423) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 220 Gulf Coast,1009386,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - ZAPATA  TX (505) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 230 Arkla,1009082,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - BOSSIER  LA (15) - Other tight reservoir rock,0,0,0,,,,,,,,
Nadel and Gussman Ruston Arkla Basin No. 230,1009686,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - WEBSTER  LA (119) - Other tight reservoir rock,1,0,0,,,,,,,,
XTO Energy Inc 230 Arkla,1009082,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - WEBSTER  LA (119) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - FRANKLIN  AR (47) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - LOGAN  AR (83) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - CLEBURNE  AR (23) - Shale gas,0,0,0,,,,,,,,
Stephens Production Company - ARKOMA Basin,1008474,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - SEBASTIAN  AR (131) - Shale gas,1,21,12.689,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - VAN BUREN  AR (141) - Shale gas,1,0,.4,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - WHITE  AR (145) - Shale gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - CHEROKEE  TX (73) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - FREESTONE  TX (161) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - HARRISON  TX (203) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 575 Uintah,1009389,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],575 - UINTAH  UT (47) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - SEWARD  KS (175) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - FINNEY  KS (55) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRANT  KS (67) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - HAMILTON  KS (75) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - HASKELL  KS (81) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - KEARNY  KS (93) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - MORTON  KS (129) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - STANTON  KS (187) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - STEVENS  KS (189) - High permeability gas,0,0,0,,,,,,,,
Equal Energy-355-Chautaqua Platform,1010176,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],355 - LINCOLN  OK (81) - High permeability gas,6,288,36.4,,,,,,,,
Oxy Permian Basin - 430,1008141,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],430 - EDDY  NM (15) - Oil,1,72,0,,,,,,,,
XTO Energy Inc 415 Strawn,1009387,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],415 - TARRANT  TX (439) - Shale gas,3,0,8.78,,,,,,,,
YPC 515 Powder River Basin,1008230,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],515 - JOHNSON  WY (19) - Coal seam,5,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - BLAINE  OK (11) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - CADDO  OK (15) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - CANADIAN  OK (17) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - GRADY  OK (51) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - WOODS  OK (151) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - WOODWARD  OK (153) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 350 South Oklahoma Folded Belt,1008616,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],350 - MARSHALL  OK (95) - Shale gas,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - KINGFISHER  OK (73) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - MAJOR  OK (93) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],360 - WASHITA  OK (149) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 580 San Juan,1009142,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],580 - SAN JUAN  NM (45) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 580 San Juan,1009142,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],580 - LA PLATA  CO (67) - Coal seam,2,0,.25,,,,,,,,
XTO Energy Inc 580 San Juan,1009142,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],580 - SAN JUAN  NM (45) - Coal seam,0,0,0,,,,,,,,
Point Thomson Production Facility,1011831,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],890 - FLAXMAN ISLAND  AK (89) - High permeability gas,0,0,0,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - STARK  OH (151) - High permeability gas,,,,3,3,.002,,,,,
Samson Exploration 220 Gulf Coast Basin,1008093,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - CHAMBERS  TX (71) - High Permeability Gas,,,,1,35,.127,,,,,
BBX 220 Gulf Coast Basin,1011749,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - JASPER  TX (241) - High permeability gas,,,,1,38,1.023,,,,,
Samson Exploration 220 Gulf Coast Basin,1008093,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - LAFOURCHE  LA (57) - High Permeability Gas,,,,1,90,.074,,,,,
XTO Energy Inc 220 Gulf Coast,1009386,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - LAVACA  TX (285) - High permeability gas,,,,0,0,0,,,,,
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - COLUMBIA  AR (27) - Oil,,,,0,0,0,,,,,
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - LAFAYETTE  AR (73) - Oil,,,,0,0,0,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - High permeability gas,,,,0,0,0,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - ROBERTSON  TX (395) - High permeability gas,,,,0,0,0,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SMITH  TX (423) - High permeability gas,,,,0,0,0,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - UPSHUR  TX (459) - High permeability gas,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SHELBY  TX (419) - Shale gas,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - FREESTONE  TX (161) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LEON  TX (289) - Other tight reservoir rock,,,,2,9,.33,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,,,,0,0,0,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - PANOLA  TX (365) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - ROBERTSON  TX (395) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SHELBY  TX (419) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 220 Gulf Coast,1009386,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - ZAPATA  TX (505) - High permeability gas,,,,0,0,0,,,,,
XTO Energy Inc 230 Arkla,1009082,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - BOSSIER  LA (15) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 230 Arkla,1009082,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - WEBSTER  LA (119) - Other tight reservoir rock,,,,0,0,0,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - FRANKLIN  AR (47) - High permeability gas,,,,0,0,0,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - LOGAN  AR (83) - High permeability gas,,,,0,0,0,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - CLEBURNE  AR (23) - Shale gas,,,,5,11.83,.26,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - VAN BUREN  AR (141) - Shale gas,,,,4,96,2.68,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table H.2,Gas well completions WITHOUT hydraulic fracturing (with flaring),Onshore petroleum and natural gas production [98.230(a)(2)],345 - WHITE  AR (145) - Shale gas,,,,3,9.05,.27,,,,,
