EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_NAME,EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_ID,EF_W_EQUIP_LEAKS_ONSHORE.REPORTING_YEAR,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_NUM,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_DESC,EF_W_EQUIP_LEAKS_ONSHORE.INDUSTRY_SEGMENT,EF_W_EQUIP_LEAKS_ONSHORE.LOCATION,EF_W_EQUIP_LEAKS_ONSHORE.SOURCE_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.AVERAGE_TIME_OPERATIONAL,EF_W_EQUIP_LEAKS_ONSHORE.CO2_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.CH4_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_CALC_METHOD,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_PRESENT,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_EAST,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_WEST,EF_W_EQUIP_LEAKS_ONSHORE.EMISSION_SRC_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.SERVICE_TYPE
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,442,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,576,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,392,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,3,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,38,,,,
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,166,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Compressors,Yes,1,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Dehydrators,No,0,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,In-line heaters,No,0,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Meters/piping,No,0,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Separators,Yes,19,,,,
Arkla Basin - AAPG Province 230,1008257,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Wellhead,Yes,39,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,52,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,35,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,52,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,1,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,81,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,46,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,46,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,9,,,,
Dominion Energy Wexpro - Uinta Basin,1008169,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,23,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,37,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,85,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,119,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,15,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,19,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,1,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,1265,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,1260,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,612,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,198,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
415 Strawn Basin DEC,1009276,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,1320,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,1,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,2732,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,144,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,5,,,,
Oxy Permian Basin - 430,1008141,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,1,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,171,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,19,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,153,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,14,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
515 Powder River Basin DEC,1009278,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Wellhead,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Separators,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Meters/piping,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Compressors,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,In-line heaters,No,,,,,
Samuel Gary Jr. & Associates Central Kansas Uplift (385) Operations,1009112,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Dehydrators,No,,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,92,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,120,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,103,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,9,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,12,,,,
Newfield.430.Permian Basin,1008143,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Wellhead,No,,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Separators,No,,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Meters/piping,Yes,1883,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Compressors,Yes,5,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,In-line heaters,No,,,,,
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 2,Dehydrators,Yes,3,,,,
